"STUDY_ID","REVIEWERS","INCLUDE","AU","TI","SO","PY","DI","AB","screen_status"
"178","Elise","not vetted","Liedloff, AC; Smith, CS","Predicting a 'tree change' in Australia's tropical savannas: Combining different types of models to understand complex ecosystem behaviour","ECOLOGICAL MODELLING","2010","10.1016/j.ecolmodel.2010.07.022","In this study, key ecological modelling limitations of a process-based simulation model and a Bayesian network were reduced by combining the two approaches. We demonstrate the combined modelling approach with a case study investigating increases in woody vegetation density in northern Australia's tropical savannas. We found that by utilising the strengths of a simulation model and a Bayesian network we could both forecast future change in woody vegetation density and diagnose the reasons for current vegetation states. The local conditions of climate, soil characteristics and the starting population of trees were found to be more important in explaining the likelihood of change in woody vegetation density compared to management practices such as grazing pressure and fire regimes. We conclude that combining the strengths of a process and BN model allowed us to produce a simple model that utilised the ability of the process model to simulate ecosystem processes in detail and over long time periods, and the ability of the BN to capture uncertainty in ecosystem response and to conduct scenario, sensitivity and diagnostic analysis. The overall result was a model that has the potential to provide land managers with a better understanding of the behaviour of a complex ecosystem than simply utilising either modelling approach in isolation. Crown Copyright (C) 2010 Published by Elsevier B.V. All rights reserved.","MAYBE"
"179","Elise","not vetted","Vesk, PA; McCarthy, MA; Moir, ML","How many hosts? Modelling host breadth from field samples","METHODS IN ECOLOGY AND EVOLUTION","2010","10.1111/j.2041-210X.2010.00026.x","1. Host-specificity is important in fundamental and applied studies of biodiversity, but it is difficult to generate definitive data for many species. 2. Here, we present a model framework for estimating the realized host breadth of dependent fauna from samples collected from replicate host individuals. We use Bayesian, Zero-inflated Poisson regression to model the abundance conditional upon host use - our focal parameter. We illustrate the model using a data set of insects on threatened and non-threatened plant species from eastern Australia. Estimating co-extinction risk through threats to host organisms is a key application for the model, requiring assessment of the host-specificity of biota, whilst incorporating uncertainty. 3. The host breadth model indicated that several insect species had high probability of narrow host breadth, including several species that appeared to only have one host. Furthermore, the model distinguished polyphagous, oligophagous and monophagous insect species. Modification of the model to account for false positives also identified tourist occurrences. 4. The host breadth model can be utilized not only towards focusing conservation actions on the most co-threatened dependent invertebrate species, but also for other projects involving host-specificity, such as estimating the number of insects globally, and selecting the most likely candidates for biological control of invasive species. Further uses are likely in various data sets of associations between species.","NO"
"180","Elise","not vetted","Walker, E; Bez, N","A pioneer validation of a state-space model of vessel trajectories (VMS) with observers' data","ECOLOGICAL MODELLING","2010","10.1016/j.ecolmodel.2010.05.007","In the context of the expansion of animal tracking and bio-logging, state-space models have been developed with the objective to characterise animals' trajectories and to understand the factors controlling their behaviour. In the fisheries community, the electronic tagging of vessels commonly designated by Vessel Monitoring Systems (VMS) is developing and provides a new insight for the understanding, the analysis and the modelling of the trajectories of vessels and their prospecting behaviour. VMS data are thus a clue for the proper definition of fishing effort which remains a fundamental parameter of tuna stock assessments. In this context, we used the VMS (recording of hourly positions) of the French tropical tuna purse-seiners operating in the Indian Ocean to characterise three types of movement (states) on the VMS trajectories (stillness, tracking, and cruising). Based on empirical evidences, and on the regular frequency of VMS acquisition, this was achieved by the development of a Bayesian Hidden Markov model for the speeds and turning angles derived from the hourly steps of the trajectories. In a second phase, states were related to activities disentangling stillness into fishing or stop at sea. Finally the quality of the model performances was rigorously quantified thanks to observers' data. Confronting model prediction and true activities allowed estimating that 10% of the hourly steps were misclassified. The assumptions and model' choices are discussed, highlighting the fact that VMS data and observers' data having different time resolutions, the effective use of validating data was troublesome. However, without validation, these analyses remain speculative. The validation part of this work represents an important step for the operational use of state-space models in ecology in the broad sense (predators' tracking data, e.g. birds or mammals trajectories). (C) 2010 Elsevier B.V. All rights reserved.","YES"
"181","Elise","not vetted","Moore, AL; McCarthy, MA","On Valuing Information in Adaptive-Management Models","CONSERVATION BIOLOGY","2010","10.1111/j.1523-1739.2009.01443.x","Active adaptive management looks at the benefit of using strategies that may be suboptimal in the near term but may provide additional information that will facilitate better management in the future. In many adaptive-management problems that have been studied, the optimal active and passive policies (accounting for learning when designing policies and designing policy on the basis of current best information, respectively) are very similar. This seems paradoxical; when faced with uncertainty about the best course of action, managers should spend very little effort on actively designing programs to learn about the system they are managing. We considered two possible reasons why active and passive adaptive solutions are often similar. First, the benefits of learning are often confined to the particular case study in the modeled scenario, whereas in reality information gained from local studies is often applied more broadly. Second, management objectives that incorporate the variance of an estimate may place greater emphasis on learning than more commonly used objectives that aim to maximize an expected value. We explored these issues in a case study of Merri Creek, Melbourne, Australia, in which the aim was to choose between two options for revegetation. We explicitly incorporated monitoring costs in the model. The value of the terminal rewards and the choice of objective both influenced the difference between active and passive adaptive solutions. Explicitly considering the cost of monitoring provided a different perspective on how the terminal reward and management objective affected learning. The states for which it was optimal to monitor did not always coincide with the states in which active and passive adaptive management differed. Our results emphasize that spending resources on monitoring is only optimal when the expected benefits of the options being considered are similar and when the pay-off for learning about their benefits is large.","MAYBE"
"182","Elise","not vetted","Servanty, S; Choquet, R; Baubet, E; Brandt, S; Gaillard, JM; Schaub, M; Toigo, C; Lebreton, JD; Buoro, M; Gimenez, O","Assessing whether mortality is additive using marked animals: a Bayesian state-space modeling approach","ECOLOGY","2010","10.1890/09-1931.1","Whether different sources of mortality are additive, compensatory, or depensatory is a key question in population biology. A way to test for additivity is to calculate the correlation between cause-specific mortality rates obtained from marked animals. However, existing methods to estimate this correlation raise several methodological issues. One difficulty is the existence of an intrinsic bias in the correlation parameter. Although this bias can be formally expressed, it requires knowledge about natural survival without any competing mortality source, which is difficult to assess in most cases. Another difficulty lies in estimating the true process correlation while properly accounting for sampling variation. Using a Bayesian approach, we developed a state-space model to assess the correlation between two competing sources of mortality. By distinguishing the mortality process from its observation through dead recoveries and live recaptures, we estimated the process correlation. To correct for the intrinsic bias, we incorporated experts' opinions on natural survival. We illustrated our approach using data on a hunted population of wild boars. Mortalities were not additive and natural mortality increased with hunting mortality likely as a consequence of non-controlled mortality by crippling loss. Our method opens perspectives for wildlife management and for the conservation of endangered species.","NO"
"183","Elise","not vetted","Carlson, SM; Kottas, A; Mangel, M","Bayesian analysis of size-dependent overwinter mortality from size-frequency distributions","ECOLOGY","2010","10.1890/09-0252.1","Understanding the relationship between body size and mortality is an important problem in ecology. We introduce a novel Bayesian method that can be used to quantify this relationship when the only data available are size-frequency distributions of unmarked individuals measured at two successive time periods. The inverse Gaussian distribution provides a parametric form for the statistical model development, and we use Markov chain Monte Carlo methods to evaluate posterior distributions. We illustrate the method using data on threespine stickleback (Gasterosteus aculeatus) collected before and after the winter season in an Alaskan lake. Our method allows us to compare the intensity of size-biased mortality in different years. We discuss generalizations that include more complicated relationships between size and survival as well as time-series modeling.","NO"
"184","Elise","not vetted","Wilson, TL; Odei, JB; Hooten, MB; Edwards, TC","Hierarchical spatial models for predicting pygmy rabbit distribution and relative abundance","JOURNAL OF APPLIED ECOLOGY","2010","10.1111/j.1365-2664.2009.01766.x","P>1. Conservationists routinely use species distribution models to plan conservation, restoration and development actions, while ecologists use them to infer process from pattern. These models tend to work well for common or easily observable species, but are of limited utility for rare and cryptic species. This may be because honest accounting of known observation bias and spatial autocorrelation are rarely included, thereby limiting statistical inference of resulting distribution maps. 2. We specified and implemented a spatially explicit Bayesian hierarchical model for a cryptic mammal species (pygmy rabbit Brachylagus idahoensis). Our approach used two levels of indirect sign that are naturally hierarchical (burrows and faecal pellets) to build a model that allows for inference on regression coefficients as well as spatially explicit model parameters. We also produced maps of rabbit distribution (occupied burrows) and relative abundance (number of burrows expected to be occupied by pygmy rabbits). The model demonstrated statistically rigorous spatial prediction by including spatial autocorrelation and measurement uncertainty. 3. We demonstrated flexibility of our modelling framework by depicting probabilistic distribution predictions using different assumptions of pygmy rabbit habitat requirements. 4. Spatial representations of the variance of posterior predictive distributions were obtained to evaluate heterogeneity in model fit across the spatial domain. Leave-one-out cross-validation was conducted to evaluate the overall model fit. 5. Synthesis and applications. Our method draws on the strengths of previous work, thereby bridging and extending two active areas of ecological research: species distribution models and multi-state occupancy modelling. Our framework can be extended to encompass both larger extents and other species for which direct estimation of abundance is difficult.","NO"
"185","Elise","not vetted","Abadi, F; Gimenez, O; Arlettaz, R; Schaub, M","An assessment of integrated population models: bias, accuracy, and violation of the assumption of independence","ECOLOGY","2010","10.1890/08-2235.1","Understanding population dynamics requires accurate estimates of demographic rates. Integrated population models combine demographic and survey data into a single, comprehensive analysis and provide more coherent estimates of vital rates. Integrated Population models rely on the assumption that different data sets are independent, which is frequently violated in practice. Moreover, the precision that call be gained using integrated modeling compared to conventional modeling is only known from empirical studies. The present study used simulation Methods to assess how the violation of the assumption of independence affects the statistical properties of the parameter estimators. Further, the gains in precision and accuracy from the model were explored under varying sample sizes. For capture-recapture, population survey, and reproductive success, we generated independent and dependent data that were analyzed with integrated and conventional models. We found only a minimal impact of the violation of the assumption of independence on the parameter estimates. Furthermore, we observed an overall gain in precision and accuracy when all three data sets were analyzed simultaneously. This was particularly pronounced when the sample size was small. These findings contribute to clearing the way for the application of integrated population models in practice.","YES"
"186","Elise","not vetted","Langmead, O; McQuatters-Gollop, A; Mee, LD; Friedrich, J; Gilbert, AJ; Gomoiu, MT; Jackson, EL; Knudsen, S; Minicheva, G; Todorova, V","Recovery or decline of the northwestern Black Sea: A societal choice revealed by socio-ecological modelling","ECOLOGICAL MODELLING","2009","10.1016/j.ecolmodel.2008.09.011","During recent decades anthropogenic activities have dramatically impacted the Black Sea ecosystem. High levels of riverine nutrient input during the 1970s and 1980s caused eutrophic conditions including intense algal blooms resulting in hypoxia and the subsequent collapse of benthic habitats on the northwestern shelf. intense fishing pressure also depleted stocks of many apex predators, contributing to an increase in planktivorous fish that are now the focus of fishing efforts. Additionally, the Black Sea's ecosystem changed even further with the introduction of exotic species. Economic collapse of the surrounding socialist republics in the early 1990s resulted in decreased nutrient loading which has allowed the Black Sea ecosystem to start to recover, but under rapidly changing economic and political conditions, future recovery is uncertain. In this study we use a multidisciplinary approach to integrate information from socioeconomic and ecological systems to model the effects of future development scenarios on the marine environment of the northwestern Black Sea shelf. The Driver-Pressure-State-Impact-Response framework was used to construct conceptual models, explicitly mapping impacts of socio-economic Drivers on the marine ecosystem. Bayesian belief networks (BBNs), a stochastic modelling technique, were used to quantify these causal relationships, operationalise models and assess the effects of alternative development paths on the Black Sea ecosystem. BBNs use probabilistic dependencies as a common metric, allowing the integration of quantitative and qualitative information. Under the Baseline Scenario, recovery of the Black Sea appears tenuous as the exploitation of environmental resources (agriculture, fishing and shipping) increases with continued economic development of post-Soviet countries. This results in the loss of wetlands through drainage and reclamation. Water transparency decreases as phytoplankton bloom and this deterioration in water quality leads to the degradation of coastal plant communities (Cystoseira, seagrass) and also Phyllophora habitat on the shelf. Decomposition of benthic plants results in hypoxia killing flora and fauna associated with these habitats. Ecological pressure from these factors along with constant levels of fishing activity results in target stocks remaining depleted. Of the four Alternative Scenarios, two show improvements on the Baseline ecosystem condition, with improved waste water treatment and reduced fishing pressure, while the other two show a worsening, due to increased natural resource exploitation leading to rapid reversal of any recent ecosystem recovery. From this we conclude that variations in economic policy have significant consequences for the health of the Black Sea, and ecosystem recovery is directly linked to social-economic choices. (C) 2008 Elsevier B.V. All rights reserved.","NO"
"187","Elise","not vetted","Zhang, WT; Arhonditsis, GB","A Bayesian hierarchical framework for calibrating aquatic biogeochemical models","ECOLOGICAL MODELLING","2009","10.1016/j.ecolmodel.2009.05.023","Model practitioners increasingly place emphasis on rigorous quantitative error analysis in aquatic biogeochemical models and the existing initiatives range from the development of alternative metrics for goodness of fit, to data assimilation into operational models, to parameter estimation techniques. However, the treatment of error in many of these efforts is arguably selective and/or ad hoc. A Bayesian hierarchical framework enables the development of robust probabilistic analysis of error and uncertainty in model predictions by explicitly accommodating measurement error, parameter uncertainty, and model structure imperfection. This paper presents a Bayesian hierarchical formulation for simultaneously calibrating aquatic biogeochemical models at multiple systems (or sites of the same system) with differences in their trophic conditions, prior precisions of model parameters, available information, measurement error or inter-annual variability. Our statistical formulation also explicitly considers the uncertainty in model inputs (model parameters, initial conditions), the analytical/sampling error associated with the field data, and the discrepancy between model structure and the natural system dynamics (e.g., missing key ecological processes, erroneous formulations, misspecified forcing functions). The comparison between observations and posterior predictive monthly distributions indicates that the plankton models calibrated under the Bayesian hierarchical scheme provided accurate system representations for all the scenarios examined. Our results also suggest that the Bayesian hierarchical approach allows overcoming problems of insufficient local data by ""borrowing strength"" from well-studied sites and this feature will be highly relevant to conservation practices of regions with a high number of freshwater resources for which complete data could never be practically collected. Finally, we discuss the prospect of extending this framework to spatially explicit biogeochemical models (e.g., more effectively connect inshore with offshore areas) along with the benefits for environmental management, such as the optimization of the sampling design of monitoring programs and the alignment with the policy practice of adaptive management. (C) 2009 Elsevier B.V. All rights reserved.","YES"
"188","Elise","not vetted","Wilson, DS; Stoddard, MA; Betts, MG; Puettmann, KJ","Bayesian Small Area Models for Assessing Wildlife Conservation Risk in Patchy Populations","CONSERVATION BIOLOGY","2009","10.1111/j.1523-1739.2008.01160.x","Species conservation risk assessments require accurate, probabilistic, and biologically meaningful maps of population distribution. In patchy populations, the reasons for discontinuities are not often well understood. We tested a novel approach to habitat modeling in which methods of small area estimation were used within a hierarchical Bayesian framework. Amphibian occurrence was modeled with logistic regression that included third-order drainages as hierarchical effects to account for patchy populations. Models including the random drainage effects adequately represented species occurrences in patchy populations of 4 amphibian species in the Oregon Coast Range (U.S.A.). Amphibian surveys from other locations within the same drainage were used to calibrate local drainage-scale effects. Cross-validation showed that prediction errors for calibrated models were 77% to 86% lower than comparable regionally constructed models, depending on species. When calibration data were unavailable, small area and regional models performed similarly, although poorly. Small area estimation models complement wildlife ecology and habitat studies, and can help managers develop a regional picture of the conservation status for relatively rare species.","MAYBE"
"189","Elise","not vetted","Polansky, L; de Valpine, P; Lloyd-Smith, JO; Getz, WM","Likelihood ridges and multimodality in population growth rate models","ECOLOGY","2009","10.1890/08-1461.1","A central problem in population ecology is to use time series data to estimate the form of density dependence in the per capita growth rate (pgr). This is often accomplished with phenomenological models such as the theta-Ricker or generalized Beverton-Holt. Using the theta-Ricker model as a simple but flexible description of density dependence, we apply theory and simulations to show how multimodality and ridges in the likelihood surface can emerge even in the absence of model misspecification or observation error. The message for model fitting of real data is to consider the likelihood surface in detail, check whether the best fit model is located on a likelihood ridge and, if so, evaluate predictive differences of biologically plausible models along the ridge. We present a detailed analysis of a focal data set showing how multimodality and ridges emerge in practice for fits of several parametric models, including a state-space model with explicit accommodation of observation error. Best-fit models for these data are biologically dubious beyond the range of the data, and likelihood ratio confidence regions include a wide range of more biologically plausible models. We demonstrate the broad relevance of these findings by presenting analyses of 25 additional data sets spanning a wide range of taxa. The results here are relevant to information-theoretic and Bayesian methods, which also rely on likelihoods. Beyond presentation of best-fit models and confidence regions around individual parameters, effort toward understanding features of the likelihood surface will help ensure the most robust translation from statistical analysis to biological interpretation.","MAYBE"
"190","Elise","not vetted","Osnas, EE; Heisey, DM; Rolley, RE; Samuel, MD","Spatial and temporal patterns of chronic wasting disease: fine-scale mapping of a wildlife epidemic in Wisconsin","ECOLOGICAL APPLICATIONS","2009","10.1890/08-0578.1","Emerging infectious diseases threaten wildlife populations and human health. Understanding the spatial distributions of these new diseases is important for disease management and policy makers; however, the data are complicated by heterogeneities across host classes, sampling variance, sampling biases, and the space-time epidemic process. Ignoring these issues can lead to false conclusions or obscure important patterns in the data, such as spatial variation in disease prevalence. Here, we applied hierarchical Bayesian disease mapping methods to account for risk factors and to estimate spatial and temporal patterns of infection by chronic wasting disease (CWD) in white-tailed deer (Odocoileus virginianus) of Wisconsin, USA. We found significant heterogeneities for infection due to age, sex, and spatial location. Infection probability increased with age for all young deer, increased with age faster for young males, and then declined for some older animals, as expected from disease-associated mortality and age-related changes in infection risk. We found that disease prevalence was clustered in a central location, as expected under a simple spatial epidemic process where disease prevalence should increase with time and expand spatially. However, we could not detect any consistent temporal or spatiotemporal trends in CWD prevalence. Estimates of the temporal trend indicated that prevalence may have decreased or increased with nearly equal posterior probability, and the model without temporal or spatiotemporal effects was nearly equivalent to models with these effects based on deviance information criteria. For maximum interpretability of the role of location as a disease risk factor, we used the technique of direct standardization for prevalence mapping, which we develop and describe. These mapping results allow disease management actions to be employed with reference to the estimated spatial distribution of the disease and to those host classes most at risk. Future wildlife epidemiology studies should employ hierarchical Bayesian methods to smooth estimated quantities across space and time, account for heterogeneities, and then report disease rates based on an appropriate standardization.","NO"
"191","Elise","not vetted","Zheng, CZ; Pennanen, J; Ovaskainen, O","Modelling dispersal with diffusion and habitat selection: Analytical results for highly fragmented landscapes","ECOLOGICAL MODELLING","2009","10.1016/j.ecolmodel.2009.02.024","Quantifying dispersal is crucial both for understanding ecological population dynamics, and for gaining insight into factors that affect the genetic structure of populations. The role of dispersal becomes pronounced in highly fragmented landscapes inhabited by spatially structured populations. We consider a landscape consisting of a set of habitat patches surrounded by unsuitable matrix, and model dispersal by assuming that the individuals follow a random walk with parameters that may be specific to the habitat type. We allow for spatial variation in patch quality, and account for edge-mediated behavior, the latter meaning that the individuals bias their movement towards the patches when close to an edge between a patch and the matrix. We employ a diffusion approximation of the random walk model to derive analytical expressions for various characteristics of the dispersal process. For example, we derive formulae for the time that an individual is expected to spend in its current patch i, and for the time that it will spend in the matrix, both conditional on the individual hitting next a given patch j before hitting any of the other patches or dying. The analytical formulae are based on the assumptions that the landscape is infinitely large, that the patches are circularly shaped, and that the patches are small compared to interpatch distances. We evaluate the effect of these assumptions by comparing the analytical results to numerical results in a real patch network that violates all of the three assumptions. We then consider a landscape that fulfills the assumptions, and show that in this case the analytical results are in a very good agreement with the numerical results. The results obtained here allow the construction of computationally efficient dispersal models that can be used as components of metapopulation models. (C) 2009 Elsevier B.V. All rights reserved.","MAYBE"
"192","Elise","not vetted","Ramsey, DSL; Parkes, J; Morrison, SA","Quantifying Eradication Success: the Removal of Feral Pigs from Santa Cruz Island, California","CONSERVATION BIOLOGY","2009","10.1111/j.1523-1739.2008.01119.x","A major challenge facing pest-eradication efforts is determining when eradication has been achieved. When the pest can no longer be detected, managers have to decide whether the pest has actually been eliminated and hence to decide when to terminate the eradication program. For most eradication programs, this decision entails considerable risk and is the largest single issue facing managers of such programs. We addressed this issue for an eradication program of feral pigs (Sus scrofa) from Santa Cruz Island, California. Using a Bayesian approach, we estimated the degree of confidence in the success of the eradication program at the point when monitoring failed to detect any more pigs. Catch-effort modeling of the hunting effort required to dispatch pigs during the eradication program was used to determine the relationship between detection probability and searching effort for different hunting methods. We then used these relationships to estimate the amount of monitoring effort required to declare eradication successful with criteria that either set a threshold for the probability that pigs remained undetected (type I error) or minimized the net expected costs of the eradication program (cost of type I and II errors). For aerial and ground-based monitoring techniques, the amount of search effort required to declare eradication successful on the basis of either criterion was highly dependent on the prior belief in the success of the program unless monitoring intensities exceeded 30 km of searching effort per square kilometer of search area for aerial monitoring and, equivalently, 38 km for ground monitoring. Calculation of these criteria to gauge the success of eradication should form an essential component of any eradication program as it allows for a transparent assessment of the risks inherent in the decision to terminate the program.","YES"
"193","Elise","not vetted","Cressie, N; Calder, CA; Clark, JS; Hoef, JMV; Wikle, CK","Accounting for uncertainty in ecological analysis: the strengths and limitations of hierarchical statistical modeling","ECOLOGICAL APPLICATIONS","2009","10.1890/07-0744.1","Analyses of ecological data should account for the uncertainty in the process(es) that generated the data. However, accounting for these uncertainties is a difficult task, since ecology is known for its complexity. Measurement and/or process errors are often the only sources of uncertainty modeled when addressing complex ecological problems, yet analyses should also account for uncertainty in sampling design, in model specification, in parameters governing the specified model, and in initial and boundary conditions. Only then can we be con. dent in the scientific inferences and forecasts made from an analysis. Probability and statistics provide a framework that accounts for multiple sources of uncertainty. Given the complexities of ecological studies, the hierarchical statistical model is an invaluable tool. This approach is not new in ecology, and there are many examples ( both Bayesian and non-Bayesian) in the literature illustrating the benefits of this approach. In this article, we provide a baseline for concepts, notation, and methods, from which discussion on hierarchical statistical modeling in ecology can proceed. We have also planted some seeds for discussion and tried to show where the practical difficulties lie. Our thesis is that hierarchical statistical modeling is a powerful way of approaching ecological analysis in the presence of inevitable but quanti. able uncertainties, even if practical issues sometimes require pragmatic compromises.","YES"
"194","Elise","not vetted","Choy, SL; O'Leary, R; Mengersen, K","Elicitation by design in ecology: using expert opinion to inform priors for Bayesian statistical models","ECOLOGY","2009","10.1890/07-1886.1","Bayesian statistical modeling has several benefits within an ecological context. In particular, when observed data are limited in sample size or representativeness, then the Bayesian framework provides a mechanism to combine observed data with other ""prior'' information. Prior information may be obtained from earlier studies, or in their absence, from expert knowledge. This use of the Bayesian framework reflects the scientific ""learning cycle,'' where prior or initial estimates are updated when new data become available. In this paper we outline a framework for statistical design of expert elicitation processes for quantifying such expert knowledge, in a form suitable for input as prior information into Bayesian models. We identify six key elements: determining the purpose and motivation for using prior information; specifying the relevant expert knowledge available; formulating the statistical model; designing effective and efficient numerical encoding; managing uncertainty; and designing a practical elicitation protocol. We demonstrate this framework applies to a variety of situations, with two examples from the ecological literature and three from our experience. Analysis of these examples reveals several recurring important issues affecting practical design of elicitation in ecological problems.","YES"
"195","Elise","not vetted","Crout, NMJ; Tarsitano, D; Wood, AT","Is my model too complex? Evaluating model formulation using model reduction","ENVIRONMENTAL MODELLING & SOFTWARE","2009","10.1016/j.envsoft.2008.06.004","While mechanistic models tend to be detailed, they are less detailed than the real systems they seek to describe, so judgements are being made about the appropriate level of detail within the process of model development. These judgements are difficult to test, consequently it is easy for models to become over-parameterised, potentially increasing uncertainty in predictions. The work we describe is a step towards addressing these difficulties. We propose and implement a method which explores a family of simpler models obtained by replacing model variables with constants (model reduction by variable replacement). The procedure iteratively searches the simpler model formulations and compares models in terms of their ability to predict observed data, evaluated within a Bayesian framework. The results can be summarised as posterior model probabilities and replacement probabilities for individual variables which lend themselves to mechanistic interpretation. This provides powerful diagnostic information to support model development, and can identify areas of model over-parameterisation with implications for interpretation of model results. We present the application of the method to 3 example models. In each case reduced models are identified which outperform the original full model in terms of comparisons to observations, suggesting some over-parameterisation has occurred during model development. We argue that the proposed approach is relevant to anyone involved in the development or use of process based mathematical models, especially those where understanding is encoded via empirically based relationships. (C) 2008 Elsevier Ltd. All rights reserved.","YES"
"196","Elise","not vetted","Ascough, JC; Maier, HR; Ravalico, JK; Strudley, MW","Future research challenges for incorporation of uncertainty in environmental and ecological decision-making","ECOLOGICAL MODELLING","2008","10.1016/j.ecolmodel.2008.07.015","Environmental decision-making is extremely complex due to the intricacy of the systems considered and the competing interests of multiple stakeholders. Additional research is needed to acquire further knowledge and understanding of different types of uncertainty (e.g., knowledge, variability, decision, and linguistic uncertainty) inherent in environmental decision-making, and how these areas of uncertainty affect the quality of decisions rendered. Modeling and decision support tools (e.g., integrated assessment models, optimization algorithms, and multicriteria decision analysis tools) are being used increasingly for comparative analysis and uncertainty assessment of environmental management alternatives. If such tools are to provide effective decision support, the uncertainties associated with all aspects of the decision-making process need to be explicitly considered. However, as models become more complex to better represent integrated environmental, social and economic systems, achieving this goal becomes more difficult. Some of the important issues that need to be addressed in relation to the incorporation of uncertainty in environmental decision-making processes include: (1) the development of methods for quantifying the uncertainty associated with human input; (2) the development of appropriate risk-based performance criteria that are understood and accepted by a range of disciplines; (3) improvement of fuzzy environmental decision-making through the development of hybrid approaches (e.g., fuzzy-rule-based models combined with probabilistic data-driven techniques); (4) development of methods for explicitly conveying uncertainties in environmental decision-making through the use of Bayesian probability theory; (5) incorporating adaptive management practices into the environmental decision-making process, including model divergence correction; (6) the development of approaches and strategies for increasing the computational efficiency of integrated models, optimization methods, and methods for estimating risk-based performance measures; and (7) the development of integrated frameworks for comprehensively addressing uncertainty as part of the environmental decision-making process. Published by Elsevier B.V.","YES"
"197","Elise","not vetted","Moore, JE; Read, AJ","A BAYESIAN UNCERTAINTY ANALYSIS OF CETACEAN DEMOGRAPHY AND BYCATCH MORTALITY USING AGE-AT-DEATH DATA","ECOLOGICAL APPLICATIONS","2008","10.1890/07-0862.1","Wildlife ecologists and managers are challenged to make the most of sparse information for understanding demography of many species, especially those that are long lived and difficult to observe. For many odontocete (dolphin, porpoise, toothed whale) populations, only fertility and age-at-death data are feasibly obtainable. We describe a Bayesian approach for using fertilities and two types of age-at-death data (i.e., age structure of deaths from all mortality sources and age structure of anthropogenic mortalities only) to estimate rate of increase, mortality rates, and impacts of anthropogenic mortality on those rates for a population assumed to be in a stable age structure. We used strandings data from 1977 to 1993 (n = 96) and observer bycatch data from 1989 to 1993 (n 233) for the Gulf of Maine, USA, and Bay of Fundy, Canada, harbor porpoise (Phocoena phocoena) population as a case study. Our method combines mortality risk functions to estimate parameters describing age-specific natural and bycatch mortality rates. Separate functions are simultaneously fit to bycatch and strandings data, the latter of which are described as a mixture of natural and bycatch mortalities. Euler-Lotka equations and an estimate of longevity were used to constrain parameter estimates, and we included a parameter to account for unequal probabilities of natural vs. bycatch deaths occurring in a sample. We fit models under two scenarios intended to correct for possible data bias due to indirect bycatch of calves (i. e., death following bycatch mortality of mothers) being underrepresented in the bycatch sample. Results from the two scenarios were ""model averaged'' by sampling from both Markov Chain Monte Carlo (MCMC) chains with uniform probability. The median estimate for potential population growth (r(nat)) was 0.046 (90% credible interval [CRI] = 0.004 -0.116). The median for actual growth (r) was -0.030 (90% CRI =-0.192 to + 0.065). The probability of population decline due to added fisheries mortality, prior to management to reduce bycatch, was 0.690. Our approach takes into account multiple sources of uncertainty in data and process, and it provides posterior distributions for a rich set of demographic rate parameters that are unknown for most cetaceans. This method should be easily adaptable to other taxa for which fertility and age-at-death data are available.","NO"
"198","Elise","not vetted","Conroy, MJ; Runge, JP; Barker, RJ; Schofield, MR; Fonnesbeck, CJ","EFFICIENT ESTIMATION OF ABUNDANCE FOR PATCHILY DISTRIBUTED POPULATIONS VIA TWO-PHASE, ADAPTIVE SAMPLING","ECOLOGY","2008","10.1890/07-2145.1","Many organisms are patchily distributed, with some patches occupied at high density, others at lower densities, and others not occupied. Estimation of overall abundance can be difficult and is inefficient via intensive approaches such as capture-mark-recapture (CMR) or distance sampling. We propose a two-phase sampling scheme and model in a Bayesian framework to estimate abundance for patchily distributed populations. In the first phase, occupancy is estimated by binomial detection samples taken on all selected sites, where selection may be of all sites available, or a random sample of sites. Detection can be by visual surveys, detection of sign, physical captures, or other approach. At the second phase, if a detection threshold is achieved, CMR or other intensive sampling is conducted via standard procedures (grids or webs) to estimate abundance. Detection and CMR data are then used in a joint likelihood to model probability of detection in the occupancy sample via an abundance detection model. CMR modeling is used to estimate abundance for the abundance-detection relationship, which in turn is used to predict abundance at the remaining sites, where only detection data are collected. We present a full Bayesian modeling treatment of this problem, in which posterior inference on abundance and other parameters (detection, capture probability) is obtained under a variety of assumptions about spatial and individual sources of heterogeneity. We apply the approach to abundance estimation for two species of voles (Microtus spp.) in Montana, USA. We also use a simulation study to evaluate the frequentist properties of our procedure given known patterns in abundance and detection among sites as well as design criteria. For most population characteristics and designs considered, bias and mean-square error (MSE) were low, and coverage of true parameter values by Bayesian credibility intervals was near nominal. Our two-phase, adaptive approach allows efficient estimation of abundance of rare and patchily distributed species and is particularly appropriate when sampling in all patches is impossible, but a global estimate of abundance is required.","NO"
